,ӫ~(),ӫ~W(W),(gO),HO,ejHR,ejH,eQjHR,eQjH,RP
2026/09/11,OQ     ,~f,999999  ,0,127,188,148,218,223
2026/09/11,OQ     ,~f,999999  ,1,94,188,94,218,223
2026/09/11,OR     ,Mjf,202609  ,0,127,226,164,234,235
2026/09/11,OR     ,Mjf,202609  ,1,92,223,99,227,235
2026/09/11,OR     ,Mjf,999999  ,0,204,433,302,455,459
2026/09/11,OR     ,Mjf,999999  ,1,75,433,102,446,459
2026/09/11,OS     ,af,202609  ,0,312,305,397,433,474
2026/09/11,OS     ,af,202609  ,1,0,305,0,411,474
2026/09/11,OS     ,af,999999  ,0,466,552,585,695,761
2026/09/11,OS     ,af,999999  ,1,0,552,0,673,761
2026/09/11,OT     ,pȴf,202609  ,0,632,659,715,857,1516
2026/09/11,OT     ,pȴf,202609  ,1,528,659,568,857,1516
2026/09/11,OT     ,pȴf,999999  ,0,1582,1461,1757,1870,2170
2026/09/11,OT     ,pȴf,999999  ,1,528,1461,568,1870,2170
2026/09/11,OU     ,PPf,202609  ,0,6,6,6,6,6
2026/09/11,OU     ,PPf,202609  ,1,0,4,0,4,6
2026/09/11,OU     ,PPf,999999  ,0,6,6,6,6,6
2026/09/11,OU     ,PPf,999999  ,1,0,4,0,4,6
2026/09/11,OV     ,xf,202609  ,0,615,1072,828,1472,1758
2026/09/11,OV     ,xf,202609  ,1,382,1072,382,1472,1758
2026/09/11,OV     ,xf,999999  ,0,1148,1861,1488,2439,2998
2026/09/11,OV     ,xf,999999  ,1,546,1861,546,2439,2998
2026/09/11,OW     ,yf,202609  ,0,505,1334,740,1596,1719
2026/09/11,OW     ,yf,202609  ,1,171,1334,321,1571,1719
2026/09/11,OW     ,yf,999999  ,0,623,2054,974,2361,2603
2026/09/11,OW     ,yf,999999  ,1,389,2054,640,2310,2603
2026/09/11,OX     ,f,202609  ,0,37,51,47,54,54
2026/09/11,OX     ,f,202609  ,1,34,51,41,54,54
2026/09/11,OX     ,f,999999  ,0,59,67,80,97,107
2026/09/11,OX     ,f,999999  ,1,53,67,57,97,107
2026/09/11,OY     ,pf,202609  ,0,361,924,508,1203,1315
2026/09/11,OY     ,pf,202609  ,1,253,924,253,1203,1315
2026/09/11,OY     ,pf,999999  ,0,560,1515,779,1835,1976
2026/09/11,OY     ,pf,999999  ,1,433,1515,473,1835,1976
2026/09/11,OZ     ,뱱f,202609  ,0,720,1127,870,1531,1817
2026/09/11,OZ     ,뱱f,202609  ,1,658,1127,693,1531,1817
2026/09/11,OZ     ,뱱f,999999  ,0,1291,2308,1639,2806,3325
2026/09/11,OZ     ,뱱f,999999  ,1,916,2308,1157,2806,3325
2026/09/11,PA     ,۴f,202609  ,0,104,174,137,187,187
2026/09/11,PA     ,۴f,202609  ,1,69,163,75,175,187
2026/09/11,PA     ,۴f,999999  ,0,105,174,138,188,188
2026/09/11,PA     ,۴f,999999  ,1,70,163,76,176,188
2026/09/11,PB     ,pyf,202609  ,0,2489,6260,2974,7764,8501
2026/09/11,PB     ,pyf,202609  ,1,2209,4260,2513,5264,8501
2026/09/11,PB     ,pyf,999999  ,0,2896,8886,3524,11324,12533
2026/09/11,PB     ,pyf,999999  ,1,2529,6886,2769,8624,12533
2026/09/11,PC     ,f,202609  ,0,7,8,8,8,8
2026/09/11,PC     ,f,202609  ,1,5,6,5,6,8
2026/09/11,PC     ,f,999999  ,0,19,18,21,21,21
2026/09/11,PC     ,f,999999  ,1,5,18,5,19,21
2026/09/11,PD     ,մf,202609  ,0,4,4,4,4,13
2026/09/11,PD     ,մf,202609  ,1,2,2,2,2,13
2026/09/11,PD     ,մf,999999  ,0,11,13,13,13,13
2026/09/11,PD     ,մf,999999  ,1,4,5,4,5,13
2026/09/11,PE     ,xbf,202609  ,0,1413,3476,1768,3536,3554
2026/09/11,PE     ,xbf,202609  ,1,1239,3476,1367,3536,3554
2026/09/11,PE     ,xbf,999999  ,0,1450,3585,1805,3695,3763
2026/09/11,PE     ,xbf,999999  ,1,1276,3585,1404,3652,3763
2026/09/11,PF     ,jѮETFf,202609  ,0,198,230,224,248,251
2026/09/11,PF     ,jѮETFf,202609  ,1,135,175,140,175,251
2026/09/11,PF     ,jѮETFf,999999  ,0,209,291,259,344,380
2026/09/11,PF     ,jѮETFf,999999  ,1,135,226,148,235,380
2026/09/11,PG     ,xWKf,202609  ,0,66,73,72,74,74
2026/09/11,PG     ,xWKf,202609  ,1,50,73,51,74,74
2026/09/11,PG     ,xWKf,999999  ,0,69,85,82,86,86
2026/09/11,PG     ,xWKf,999999  ,1,47,85,51,86,86
2026/09/11,PH     ,Ӵf,202609  ,0,82,126,102,138,138
2026/09/11,PH     ,Ӵf,202609  ,1,44,126,57,134,138
2026/09/11,PH     ,Ӵf,999999  ,0,128,233,168,245,245
2026/09/11,PH     ,Ӵf,999999  ,1,43,233,77,241,245
2026/09/11,PI     ,Of,202609  ,0,57,62,65,67,68
2026/09/11,PI     ,Of,202609  ,1,46,59,50,64,68
2026/09/11,PI     ,Of,999999  ,0,57,66,69,73,76
2026/09/11,PI     ,Of,999999  ,1,42,63,50,70,76
2026/09/11,PJ     ,xqf,202609  ,0,112,152,161,213,275
2026/09/11,PJ     ,xqf,202609  ,1,63,152,70,200,275
2026/09/11,PJ     ,xqf,999999  ,0,173,245,238,343,425
2026/09/11,PJ     ,xqf,999999  ,1,154,245,154,343,425
2026/09/11,PK     ,Hqf,202609  ,0,2002,2958,2221,3160,3335
2026/09/11,PK     ,Hqf,202609  ,1,490,2958,490,3114,3335
2026/09/11,PK     ,Hqf,999999  ,0,2102,3505,2363,3775,4035
2026/09/11,PK     ,Hqf,999999  ,1,655,3505,655,3749,4035
2026/09/11,PL     ,Xf,202609  ,0,2695,6742,4016,7553,8085
2026/09/11,PL     ,Xf,202609  ,1,0,6742,0,7553,8085
2026/09/11,PL     ,Xf,999999  ,0,5049,8941,6631,10829,12168
2026/09/11,PL     ,Xf,999999  ,1,936,8941,936,10829,12168
2026/09/11,PM     ,jf,202609  ,0,31,64,43,67,67
2026/09/11,PM     ,jf,202609  ,1,7,64,9,67,67
2026/09/11,PM     ,jf,999999  ,0,34,73,48,86,86
2026/09/11,PM     ,jf,999999  ,1,7,73,9,86,86
2026/09/11,PN     ,pӴf,202609  ,0,727,1045,842,1354,1624
2026/09/11,PN     ,pӴf,202609  ,1,189,808,189,1057,1624
2026/09/11,PN     ,pӴf,999999  ,0,849,1828,1116,2181,2612
2026/09/11,PN     ,pӴf,999999  ,1,345,928,409,1221,2612
2026/09/11,PP     ,żwf,202609  ,0,40,41,42,42,42
2026/09/11,PP     ,żwf,202609  ,1,31,40,31,41,42
2026/09/11,PP     ,żwf,999999  ,0,66,70,74,74,74
2026/09/11,PP     ,żwf,999999  ,1,31,70,31,73,74
2026/09/11,PQ     ,~f,202609  ,0,893,3470,1354,3579,3618
2026/09/11,PQ     ,~f,202609  ,1,240,3470,501,3565,3618
2026/09/11,PQ     ,~f,999999  ,0,1436,5388,2165,5513,5569
2026/09/11,PQ     ,~f,999999  ,1,924,5388,1164,5498,5569
2026/09/11,PR     ,f,202609  ,0,144,296,178,352,365
2026/09/11,PR     ,f,202609  ,1,98,296,104,352,365
2026/09/11,PR     ,f,999999  ,0,202,367,253,461,509
2026/09/11,PR     ,f,999999  ,1,86,367,98,461,509
2026/09/11,PS     ,Ff,202609  ,0,1170,771,1207,1061,4452
2026/09/11,PS     ,Ff,202609  ,1,1135,771,1151,845,4452
2026/09/11,PS     ,Ff,999999  ,0,2977,5029,3777,5543,6115
2026/09/11,PS     ,Ff,999999  ,1,2977,5029,3617,5543,6115
2026/09/11,PT     ,Ef,202609  ,0,531,866,704,984,1093
2026/09/11,PT     ,Ef,202609  ,1,142,866,171,925,1093
2026/09/11,PT     ,Ef,999999  ,0,783,1209,1067,1378,1596
2026/09/11,PT     ,Ef,999999  ,1,73,1209,142,1319,1596
2026/09/11,PU     ,ppof,202609  ,0,1114,6593,1659,8369,9638
2026/09/11,PU     ,ppof,202609  ,1,954,5733,1167,6833,9638
2026/09/11,PU     ,ppof,999999  ,0,1235,9777,1938,12295,14334
2026/09/11,PU     ,ppof,999999  ,1,955,8917,1078,10759,14334
2026/09/11,PV     ,nof,202609  ,0,1170,1059,1396,1268,2932
2026/09/11,PV     ,nof,202609  ,1,1170,975,1396,1146,2932
2026/09/11,PV     ,nof,999999  ,0,2183,2269,2802,2990,3901
2026/09/11,PV     ,nof,999999  ,1,1251,2269,1767,2863,3901
2026/09/11,PW     ,pnof,202609  ,0,6206,5892,6987,7598,19725
2026/09/11,PW     ,pnof,202609  ,1,6206,5299,6546,6528,19725
2026/09/11,PW     ,pnof,999999  ,0,12854,16236,16337,21379,27734
2026/09/11,PW     ,pnof,999999  ,1,4841,16236,8324,21379,27734
2026/09/11,PX     ,cHf,202609  ,0,92,130,109,136,136
2026/09/11,PX     ,cHf,202609  ,1,60,130,67,133,136
2026/09/11,PX     ,cHf,999999  ,0,109,194,140,204,207
2026/09/11,PX     ,cHf,999999  ,1,73,194,78,202,207
2026/09/11,PY     ,pcHf,202609  ,0,606,1693,766,1942,2011
2026/09/11,PY     ,pcHf,202609  ,1,494,1294,494,1483,2011
2026/09/11,PY     ,pcHf,999999  ,0,631,1995,824,2415,2531
2026/09/11,PY     ,pcHf,999999  ,1,510,1595,510,1935,2531
2026/09/11,PZ     ,H~f,202609  ,0,4,4,4,4,4
2026/09/11,PZ     ,H~f,202609  ,1,4,1,4,1,4
2026/09/11,PZ     ,H~f,999999  ,0,6,9,9,9,9
2026/09/11,PZ     ,H~f,999999  ,1,3,6,4,6,9
2026/09/11,QA     ,pH~f,202609  ,0,170,249,225,336,368
2026/09/11,QA     ,pH~f,202609  ,1,0,249,15,336,368
2026/09/11,QA     ,pH~f,999999  ,0,207,407,316,551,626
2026/09/11,QA     ,pH~f,999999  ,1,0,407,0,551,626
2026/09/11,QB     ,If,202609  ,0,196,609,295,665,676
2026/09/11,QB     ,If,202609  ,1,47,609,126,631,676
2026/09/11,QB     ,If,999999  ,0,229,783,356,868,901
2026/09/11,QB     ,If,999999  ,1,47,783,119,842,901
2026/09/11,QC     ,Υf,202609  ,0,307,702,418,878,969
2026/09/11,QC     ,Υf,202609  ,1,115,702,115,878,969
2026/09/11,QC     ,Υf,999999  ,0,330,792,453,1006,1136
2026/09/11,QC     ,Υf,999999  ,1,115,792,115,1006,1136
2026/09/11,QD     ,xӬf,202609  ,0,746,1706,980,1750,1789
2026/09/11,QD     ,xӬf,202609  ,1,666,1706,713,1712,1789
2026/09/11,QD     ,xӬf,999999  ,0,795,1803,1056,1903,1973
2026/09/11,QD     ,xӬf,999999  ,1,715,1803,762,1834,1973
2026/09/11,QE     ,pꥨf,202609  ,0,3583,15332,4144,16622,17850
2026/09/11,QE     ,pꥨf,202609  ,1,3383,15332,3483,16222,17850
2026/09/11,QE     ,pꥨf,999999  ,0,3663,20501,4370,22172,23932
2026/09/11,QE     ,pꥨf,999999  ,1,3398,20501,3498,21752,23932
2026/09/11,QF     ,pxnqf,202609  ,0,9593,42882,11966,50174,52101
2026/09/11,QF     ,pxnqf,202609  ,1,6589,35482,7275,41293,52101
2026/09/11,QF     ,pxnqf,999999  ,0,13421,79805,16364,88665,97858
2026/09/11,QF     ,pxnqf,999999  ,1,8419,71385,9863,76744,97858
2026/09/11,QG     ,pRf,202609  ,0,3622,3263,3763,3966,4307
2026/09/11,QG     ,pRf,202609  ,1,2562,2783,2600,3288,4307
2026/09/11,QG     ,pRf,999999  ,0,5844,5316,6113,6426,7100
2026/09/11,QG     ,pRf,999999  ,1,4838,4796,4903,5527,7100
2026/09/11,QH     ,ppf,202609  ,0,1635,1768,1749,2124,2280
2026/09/11,QH     ,ppf,202609  ,1,1605,525,1605,781,2280
2026/09/11,QH     ,ppf,999999  ,0,1827,2022,1967,2487,2790
2026/09/11,QH     ,ppf,999999  ,1,1777,636,1777,1001,2790
2026/09/11,QI     ,píf,202609  ,0,2593,6147,3103,6408,6637
2026/09/11,QI     ,píf,202609  ,1,2593,3963,2828,4152,6637
2026/09/11,QI     ,píf,999999  ,0,6415,12101,7416,12482,12889
2026/09/11,QI     ,píf,999999  ,1,6035,9917,6644,10114,12889
2026/09/11,QJ     ,pɴf,202609  ,0,3247,4007,3962,4685,5610
2026/09/11,QJ     ,pɴf,202609  ,1,1238,2742,1580,3142,5610
2026/09/11,QJ     ,pɴf,999999  ,0,4149,4563,5076,5790,7360
2026/09/11,QJ     ,pɴf,999999  ,1,1239,3038,1686,4147,7360
2026/09/11,QK     ,׾lf,202609  ,0,77,66,79,79,79
2026/09/11,QK     ,׾lf,202609  ,1,53,66,53,75,79
2026/09/11,QK     ,׾lf,999999  ,0,98,85,103,103,103
2026/09/11,QK     ,׾lf,999999  ,1,53,85,54,95,103
2026/09/11,QL     ,f,202609  ,0,1378,2308,1635,2764,2906
2026/09/11,QL     ,f,202609  ,1,168,2308,216,2764,2906
2026/09/11,QL     ,f,999999  ,0,2058,3208,2370,3806,4118
2026/09/11,QL     ,f,999999  ,1,168,3208,168,3806,4118
2026/09/11,QM     ,pWȴf,202609  ,0,1573,1819,1656,2385,2445
2026/09/11,QM     ,pWȴf,202609  ,1,1527,1559,1527,2125,2445
2026/09/11,QM     ,pWȴf,999999  ,0,2057,2466,2193,3235,3343
2026/09/11,QM     ,pWȴf,999999  ,1,1977,2466,1999,2975,3343
2026/09/11,QN     ,pspf,202609  ,0,1492,8191,2326,9476,9964
2026/09/11,QN     ,pspf,202609  ,1,574,8191,710,9036,9964
2026/09/11,QN     ,pspf,999999  ,0,3905,13422,5220,15878,16882
2026/09/11,QN     ,pspf,999999  ,1,0,13422,574,15218,16882
2026/09/11,QO     ,f,202609  ,0,655,1740,871,1779,1816
2026/09/11,QO     ,f,202609  ,1,543,1740,635,1759,1816
2026/09/11,QO     ,f,999999  ,0,784,2177,1046,2271,2315
2026/09/11,QO     ,f,999999  ,1,543,2177,635,2246,2315
2026/09/11,QP     ,f,202609  ,0,89,98,106,118,118
2026/09/11,QP     ,f,202609  ,1,46,98,49,116,118
2026/09/11,QP     ,f,999999  ,0,121,134,148,167,169
2026/09/11,QP     ,f,999999  ,1,46,134,46,163,169
2026/09/11,QQ     ,´f,202609  ,0,162,253,223,265,265
2026/09/11,QQ     ,´f,202609  ,1,28,117,47,128,265
2026/09/11,QQ     ,´f,999999  ,0,162,263,223,276,276
2026/09/11,QQ     ,´f,999999  ,1,28,118,54,129,276
2026/09/11,QR     ,pغӴf,202609  ,0,2271,3071,2824,3583,3674
2026/09/11,QR     ,pغӴf,202609  ,1,1122,3071,1586,3537,3674
2026/09/11,QR     ,pغӴf,999999  ,0,2271,3382,2824,3966,4142
2026/09/11,QR     ,pغӴf,999999  ,1,1122,3382,1586,3878,4142
2026/09/11,QS     ,pnqf,202609  ,0,2497,5716,2748,7060,7637
2026/09/11,QS     ,pnqf,202609  ,1,2299,5716,2299,6840,7637
2026/09/11,QS     ,pnqf,999999  ,0,2538,6989,2865,8847,9741
2026/09/11,QS     ,pnqf,999999  ,1,2318,6989,2318,8627,9741
2026/09/11,QT     ,W״f,202609  ,0,123,349,183,357,361
2026/09/11,QT     ,W״f,202609  ,1,88,349,113,355,361
2026/09/11,QT     ,W״f,999999  ,0,125,420,186,432,443
2026/09/11,QT     ,W״f,999999  ,1,90,420,126,432,443
2026/09/11,QU     ,nZf,202609  ,0,599,1032,685,1274,1332
2026/09/11,QU     ,nZf,202609  ,1,544,1032,544,1274,1332
2026/09/11,QU     ,nZf,999999  ,0,605,1080,699,1402,1546
2026/09/11,QU     ,nZf,999999  ,1,520,1080,544,1402,1546
2026/09/11,QV     ,nf,202609  ,0,297,476,418,560,720
2026/09/11,QV     ,nf,202609  ,1,100,292,117,292,720
2026/09/11,QV     ,nf,999999  ,0,393,716,558,806,996
2026/09/11,QV     ,nf,999999  ,1,62,500,138,524,996
2026/09/11,QW     ,²f,202609  ,0,374,717,515,762,772
2026/09/11,QW     ,²f,202609  ,1,191,717,290,758,772
2026/09/11,QW     ,²f,999999  ,0,761,1448,1025,1496,1519
2026/09/11,QW     ,²f,999999  ,1,360,1448,524,1492,1519
2026/09/11,QX     ,Uf,202609  ,0,2089,3171,2387,3792,3972
2026/09/11,QX     ,Uf,202609  ,1,1814,2925,1814,3546,3972
2026/09/11,QX     ,Uf,999999  ,0,2360,3783,2741,4623,5035
2026/09/11,QX     ,Uf,999999  ,1,1970,3537,1970,4377,5035
2026/09/11,QY     ,ݬ̭]f,202609  ,0,313,464,393,504,523
2026/09/11,QY     ,ݬ̭]f,202609  ,1,215,329,215,353,523
2026/09/11,QY     ,ݬ̭]f,999999  ,0,554,631,673,808,897
2026/09/11,QY     ,ݬ̭]f,999999  ,1,177,631,215,673,897
2026/09/11,QZ     ,Onqf,202609  ,0,2660,5944,3253,7407,8378
2026/09/11,QZ     ,Onqf,202609  ,1,1670,5944,1783,7407,8378
2026/09/11,QZ     ,Onqf,999999  ,0,4995,8150,5651,10214,12702
2026/09/11,QZ     ,Onqf,999999  ,1,1883,8150,1996,10214,12702
2026/09/11,RA     ,_bf,202609  ,0,439,452,538,615,755
2026/09/11,RA     ,_bf,202609  ,1,355,452,355,615,755
2026/09/11,RA     ,_bf,999999  ,0,627,561,803,828,1184
2026/09/11,RA     ,_bf,999999  ,1,420,561,420,828,1184
2026/09/11,RB     ,Uf,202609  ,0,219,353,266,419,450
2026/09/11,RB     ,Uf,202609  ,1,0,353,0,419,450
2026/09/11,RB     ,Uf,999999  ,0,229,407,297,572,632
2026/09/11,RB     ,Uf,999999  ,1,0,407,12,572,632
2026/09/11,RC     ,~f,202609  ,0,1846,3494,2248,3552,3582
2026/09/11,RC     ,~f,202609  ,1,1369,3494,1621,3526,3582
2026/09/11,RC     ,~f,999999  ,0,1846,3556,2259,3633,3707
2026/09/11,RC     ,~f,999999  ,1,1369,3556,1621,3593,3707
2026/09/11,RD     ,Ѵf,202609  ,0,39,48,47,48,48
2026/09/11,RD     ,Ѵf,202609  ,1,11,44,15,44,48
2026/09/11,RD     ,Ѵf,999999  ,0,50,68,63,71,71
2026/09/11,RD     ,Ѵf,999999  ,1,11,64,13,67,71
2026/09/11,RE     ,sf,202609  ,0,432,812,575,927,1000
2026/09/11,RE     ,sf,202609  ,1,393,772,415,822,1000
2026/09/11,RE     ,sf,999999  ,0,844,1488,1031,1650,1786
2026/09/11,RE     ,sf,999999  ,1,844,1419,921,1554,1786
2026/09/11,RF     ,pſAf,202609  ,0,831,1990,1027,2144,2248
2026/09/11,RF     ,pſAf,202609  ,1,692,1912,692,2046,2248
2026/09/11,RF     ,pſAf,999999  ,0,915,2119,1173,2508,2782
2026/09/11,RF     ,pſAf,999999  ,1,707,2119,707,2428,2782
2026/09/11,RG     ,pf,202609  ,0,1264,1868,1593,2313,2630
2026/09/11,RG     ,pf,202609  ,1,772,1868,866,2313,2630
2026/09/11,RG     ,pf,999999  ,0,1338,2237,1764,2734,3197
2026/09/11,RG     ,pf,999999  ,1,788,2237,970,2734,3197
2026/09/11,RHF    ,IHf,202609  ,0,0,0,0,0,0
2026/09/11,RHF    ,IHf,202609  ,1,0,0,0,0,0
2026/09/11,RHF    ,IHf,999999  ,0,83,83,83,83,83
2026/09/11,RHF    ,IHf,999999  ,1,20,0,20,0,83
2026/09/11,RI     ,򰪪ѮETFf,202609  ,0,262,322,298,325,325
2026/09/11,RI     ,򰪪ѮETFf,202609  ,1,197,316,197,316,325
2026/09/11,RI     ,򰪪ѮETFf,999999  ,0,324,545,399,563,574
2026/09/11,RI     ,򰪪ѮETFf,999999  ,1,187,518,198,525,574
2026/09/11,RJ     ,jȴf,202609  ,0,97,137,127,170,180
2026/09/11,RJ     ,jȴf,202609  ,1,13,137,21,165,180
2026/09/11,RJ     ,jȴf,999999  ,0,135,187,174,241,254
2026/09/11,RJ     ,jȴf,999999  ,1,13,187,21,231,254
2026/09/11,RK     ,qf,202609  ,0,481,693,662,971,1150
2026/09/11,RK     ,qf,202609  ,1,181,693,272,971,1150
2026/09/11,RK     ,qf,999999  ,0,503,834,719,1147,1352
2026/09/11,RK     ,qf,999999  ,1,263,834,354,1147,1352
2026/09/11,RL     ,f,202609  ,0,478,761,558,835,856
2026/09/11,RL     ,f,202609  ,1,287,615,314,659,856
2026/09/11,RL     ,f,999999  ,0,484,794,574,877,906
2026/09/11,RL     ,f,999999  ,1,287,615,322,659,906
2026/09/11,RN     ,X@f,202609  ,0,85,139,112,142,142
2026/09/11,RN     ,X@f,202609  ,1,30,139,30,140,142
2026/09/11,RN     ,X@f,999999  ,0,116,206,156,220,220
2026/09/11,RN     ,X@f,999999  ,1,34,206,34,216,220
2026/09/11,RO     ,ߺݴf,202609  ,0,15,22,20,22,22
2026/09/11,RO     ,ߺݴf,202609  ,1,2,22,2,22,22
2026/09/11,RO     ,ߺݴf,999999  ,0,17,27,24,27,27
2026/09/11,RO     ,ߺݴf,999999  ,1,2,27,2,27,27
2026/09/11,RP     ,_f,202609  ,0,38,69,51,76,80
2026/09/11,RP     ,_f,202609  ,1,22,36,24,40,80
2026/09/11,RP     ,_f,999999  ,0,39,72,53,84,84
2026/09/11,RP     ,_f,999999  ,1,23,39,25,48,84
2026/09/11,RR     ,p_f,202609  ,0,509,586,542,589,603
2026/09/11,RR     ,p_f,202609  ,1,496,574,502,574,603
2026/09/11,RR     ,p_f,999999  ,0,510,629,560,637,637
2026/09/11,RR     ,p_f,999999  ,1,497,618,508,619,637
2026/09/11,RS     ,pOf,202609  ,0,765,1325,966,1591,1699
2026/09/11,RS     ,pOf,202609  ,1,499,1185,499,1382,1699
2026/09/11,RS     ,pOf,999999  ,0,981,1848,1327,2398,2572
2026/09/11,RS     ,pOf,999999  ,1,547,1674,547,2084,2572
2026/09/11,RTF    ,pIHf,202609  ,0,2,2,2,2,2
2026/09/11,RTF    ,pIHf,202609  ,1,0,0,0,0,2
2026/09/11,RTF    ,pIHf,999999  ,0,221,221,221,221,221
2026/09/11,RTF    ,pIHf,999999  ,1,0,0,0,0,221
2026/09/11,RU     ,@f,202609  ,0,73,94,100,125,625
2026/09/11,RU     ,@f,202609  ,1,29,61,37,77,625
2026/09/11,RU     ,@f,999999  ,0,296,546,371,619,671
2026/09/11,RU     ,@f,999999  ,1,52,326,79,376,671
2026/09/11,RV     ,pxFqf,202609  ,0,2606,8312,3031,10861,12251
2026/09/11,RV     ,pxFqf,202609  ,1,2376,5812,2553,7521,12251
2026/09/11,RV     ,pxFqf,999999  ,0,2656,12165,3117,15310,17652
2026/09/11,RV     ,pxFqf,999999  ,1,2386,9545,2564,12690,17652
2026/09/11,RW     ,pзNf,202609  ,0,2087,4076,2442,4864,5459
2026/09/11,RW     ,pзNf,202609  ,1,1927,3452,1927,4240,5459
2026/09/11,RW     ,pзNf,999999  ,0,2120,4464,2752,6455,7356
2026/09/11,RW     ,pзNf,999999  ,1,1946,4464,1946,5831,7356
2026/09/11,RX     ,IVnETFf,202609  ,0,24,24,24,24,24
2026/09/11,RX     ,IVnETFf,202609  ,1,3,1,3,1,24
2026/09/11,RX     ,IVnETFf,999999  ,0,28,30,30,30,30
2026/09/11,RX     ,IVnETFf,999999  ,1,2,5,3,5,30
2026/09/11,RY     ,sqxESGC50ETFf,202609  ,0,171,176,176,176,176
2026/09/11,RY     ,sqxESGC50ETFf,202609  ,1,79,176,79,176,176
2026/09/11,RY     ,sqxESGC50ETFf,999999  ,0,198,215,210,215,215
2026/09/11,RY     ,sqxESGC50ETFf,999999  ,1,79,215,80,215,215
2026/09/11,RZ     ,j20~ETFf,202609  ,0,4954,6113,5411,6741,6850
2026/09/11,RZ     ,j20~ETFf,202609  ,1,1091,6113,1188,6586,6850
2026/09/11,RZ     ,j20~ETFf,999999  ,0,11435,16030,12219,16744,17030
2026/09/11,RZ     ,j20~ETFf,999999  ,1,5052,16030,5052,16418,17030
2026/09/11,SA     ,ɴf,202609  ,0,32,41,39,45,326
2026/09/11,SA     ,ɴf,202609  ,1,24,35,26,36,326
2026/09/11,SA     ,ɴf,999999  ,0,153,378,212,396,402
2026/09/11,SA     ,ɴf,999999  ,1,48,378,60,390,402
2026/09/11,SB     ,دȴf,202609  ,0,274,300,314,322,325
2026/09/11,SB     ,دȴf,202609  ,1,16,300,38,313,325
2026/09/11,SB     ,دȴf,999999  ,0,308,361,367,386,390
2026/09/11,SB     ,دȴf,999999  ,1,0,361,38,377,390
2026/09/11,SC     ,pEf,202609  ,0,319,538,389,548,548
2026/09/11,SC     ,pEf,202609  ,1,229,458,229,460,548
2026/09/11,SC     ,pEf,999999  ,0,328,615,423,637,637
2026/09/11,SC     ,pEf,999999  ,1,229,535,229,549,637
2026/09/11,SD     ,qf,202609  ,0,211,560,292,581,590
2026/09/11,SD     ,qf,202609  ,1,131,560,197,578,590
2026/09/11,SD     ,qf,999999  ,0,292,766,392,811,837
2026/09/11,SD     ,qf,999999  ,1,172,751,231,786,837
2026/09/11,SE     ,pf,202609  ,0,1116,2279,1286,2979,3230
2026/09/11,SE     ,pf,202609  ,1,956,2279,997,2701,3230
2026/09/11,SE     ,pf,999999  ,0,1334,3315,1592,4296,4743
2026/09/11,SE     ,pf,999999  ,1,1065,3315,1163,4076,4743
2026/09/11,SF     ,pxqf,202609  ,0,1075,2464,1430,3521,4122
2026/09/11,SF     ,pxqf,202609  ,1,432,2083,629,3140,4122
2026/09/11,SF     ,pxqf,999999  ,0,1075,2824,1521,4083,5028
2026/09/11,SF     ,pxqf,999999  ,1,432,2443,629,3702,5028
2026/09/11,SG     ,qʨETFf,202609  ,0,0,0,0,0,0
2026/09/11,SG     ,qʨETFf,202609  ,1,0,0,0,0,0
2026/09/11,SG     ,qʨETFf,999999  ,0,0,0,0,0,0
2026/09/11,SG     ,qʨETFf,999999  ,1,0,0,0,0,0
2026/09/11,SHF    ,Bf,202609  ,0,22,22,22,22,22
2026/09/11,SHF    ,Bf,202609  ,1,0,2,0,2,22
2026/09/11,SHF    ,Bf,999999  ,0,23,23,23,23,23
2026/09/11,SHF    ,Bf,999999  ,1,1,2,1,2,23
2026/09/11,SI     ,j1-3ETFf,202609  ,0,250,258,258,258,258
2026/09/11,SI     ,j1-3ETFf,202609  ,1,3,256,5,256,258
2026/09/11,SI     ,j1-3ETFf,999999  ,0,257,269,269,270,270
2026/09/11,SI     ,j1-3ETFf,999999  ,1,3,267,5,267,270
2026/09/11,SJ     ,f,202609  ,0,55,177,90,184,186
2026/09/11,SJ     ,f,202609  ,1,26,177,33,182,186
2026/09/11,SJ     ,f,999999  ,0,73,193,112,226,232
2026/09/11,SJ     ,f,999999  ,1,26,193,34,226,232
2026/09/11,SK     ,ܤWf,202609  ,0,388,620,478,797,1129
2026/09/11,SK     ,ܤWf,202609  ,1,134,620,172,797,1129
2026/09/11,SK     ,ܤWf,999999  ,0,494,947,655,1163,1415
2026/09/11,SK     ,ܤWf,999999  ,1,147,947,205,1163,1415
2026/09/11,SL     ,p޹Ŵf,202609  ,0,1929,2694,2183,2853,2874
2026/09/11,SL     ,p޹Ŵf,202609  ,1,1721,1024,1881,1164,2874
2026/09/11,SL     ,p޹Ŵf,999999  ,0,2351,3355,2635,3647,3713
2026/09/11,SL     ,p޹Ŵf,999999  ,1,2143,1715,2361,1934,3713
2026/09/11,SM     ,sqxWﰪETFf,202609  ,0,127,259,172,266,267
2026/09/11,SM     ,sqxWﰪETFf,202609  ,1,79,85,79,85,267
2026/09/11,SM     ,sqxWﰪETFf,999999  ,0,159,729,260,812,843
2026/09/11,SM     ,sqxWﰪETFf,999999  ,1,59,553,80,558,843
2026/09/11,SN     ,_إxWuETFf,202609  ,0,143,198,166,203,203
2026/09/11,SN     ,_إxWuETFf,202609  ,1,10,52,10,52,203
